8497,Head,4,6,409,68.17
14701,Nitish Reddy,4,6,284,71.00
13940,Yashasvi Jaiswal,4,7,275,45.83
2250,Steven Smith,4,6,264,44.00
8733,Rahul,4,7,259,43.17
9200,Alex Carey,4,6,193,38.60
1413,Kohli,4,6,162,32.40
10182,Labuschagne,4,6,154,25.67
10744,Pant,4,6,124,20.67
6635,Khawaja,4,7,120,20.00
8095,Cummins,4,6,108,18.00
587,Ravindra Jadeja,2,2,94,47.00
7710,Mitchell Starc,4,6,91,18.20
10945,Washington Sundar,2,3,83,27.67
6250,Mitchell Marsh,4,6,73,12.17
